file,检测时间,音频时长,prediction,confidence,
D:/urbansound8k-gunshot/102305-6-0-0.wav,1.375939846,2.61,gun_shot,0.697865129,52.72%
D:/urbansound8k-gunshot/122690-6-0-0.wav,0.062484026,3.145895692,gun_shot,0.854885101,1.99%
D:/urbansound8k-gunshot/131571-6-0-0.wav,0,1.9,gun_shot,0.825156808,0.00%
D:/urbansound8k-gunshot/133797-6-1-0.wav,0.003025293,1.949895833,drilling,0.347971559,0.16%
D:/urbansound8k-gunshot/133797-6-2-0.wav,0.015620232,1.769104167,gun_shot,0.739401817,0.88%
D:/urbansound8k-gunshot/135526-6-10-0.wav,0.015621662,2.61,gun_shot,0.965542376,0.60%
D:/urbansound8k-gunshot/135526-6-11-0.wav,0.015622616,2.39,gun_shot,0.913758576,0.65%
D:/urbansound8k-gunshot/135526-6-12-0.wav,0.015620232,2.68,gun_shot,0.971584737,0.58%
D:/urbansound8k-gunshot/135526-6-2-0.wav,0.015620947,2.587981859,gun_shot,0.97961086,0.60%
D:/urbansound8k-gunshot/135526-6-4-0.wav,0,1.789818594,gun_shot,0.917736232,0.00%
D:/urbansound8k-gunshot/135526-6-5-0.wav,0,2.297732426,gun_shot,0.864734173,0.00%
D:/urbansound8k-gunshot/135526-6-6-0.wav,0.015826702,2.2,gun_shot,0.840178013,0.72%
D:/urbansound8k-gunshot/135526-6-7-0.wav,0,2.055873016,gun_shot,0.886323988,0.00%
D:/urbansound8k-gunshot/135526-6-8-0.wav,0.015620947,1.86,gun_shot,0.941027105,0.84%
D:/urbansound8k-gunshot/135526-6-9-0.wav,0.015620708,1.98,gun_shot,0.859948397,0.79%
D:/urbansound8k-gunshot/135527-6-1-0.wav,0,3.23,gun_shot,0.988424778,0.00%
D:/urbansound8k-gunshot/135527-6-11-0.wav,0.015620232,1.889954649,gun_shot,0.630594492,0.83%
D:/urbansound8k-gunshot/135527-6-12-0.wav,0,1.95,gun_shot,0.779310226,0.00%
D:/urbansound8k-gunshot/135527-6-14-0.wav,0.015620708,4,gun_shot,0.974451005,0.39%
D:/urbansound8k-gunshot/135527-6-14-1.wav,0.015621662,4,gun_shot,0.947193563,0.39%
D:/urbansound8k-gunshot/135527-6-14-10.wav,0.015621901,4,gun_shot,0.983976781,0.39%
D:/urbansound8k-gunshot/135527-6-14-2.wav,0.015620947,4,gun_shot,0.990266263,0.39%
D:/urbansound8k-gunshot/135527-6-14-3.wav,0.015621662,4,gun_shot,0.828715801,0.39%
D:/urbansound8k-gunshot/135527-6-14-4.wav,0.015621185,4,gun_shot,0.973207831,0.39%
D:/urbansound8k-gunshot/135527-6-14-5.wav,0.015620708,4,gun_shot,0.976123691,0.39%
D:/urbansound8k-gunshot/135527-6-14-6.wav,0.015622139,4,gun_shot,0.90381062,0.39%
D:/urbansound8k-gunshot/135527-6-14-7.wav,0.015620708,4,gun_shot,0.655430496,0.39%
D:/urbansound8k-gunshot/135527-6-14-8.wav,0.015620947,4,gun_shot,0.836836338,0.39%
D:/urbansound8k-gunshot/135527-6-14-9.wav,0.015620947,4,gun_shot,0.96003145,0.39%
D:/urbansound8k-gunshot/135527-6-2-0.wav,0.015621662,2.13,gun_shot,0.881729543,0.73%
D:/urbansound8k-gunshot/135527-6-4-0.wav,0.015621185,2.19,gun_shot,0.865983784,0.71%
D:/urbansound8k-gunshot/135527-6-5-0.wav,0.015620947,2.255736961,gun_shot,0.733635902,0.69%
D:/urbansound8k-gunshot/135527-6-6-0.wav,0.015621424,2.438639456,gun_shot,0.655606747,0.64%
D:/urbansound8k-gunshot/135527-6-7-0.wav,0.015621424,2.377687075,gun_shot,0.716995239,0.66%
D:/urbansound8k-gunshot/135527-6-8-0.wav,0.015620947,1.828979592,gun_shot,0.65360415,0.85%
D:/urbansound8k-gunshot/135527-6-9-0.wav,0.015620947,2.07,gun_shot,0.740418136,0.75%
D:/urbansound8k-gunshot/135528-6-0-0.wav,0.015620947,2.45,gun_shot,0.792954683,0.64%
D:/urbansound8k-gunshot/135528-6-1-0.wav,0.015620947,2.175034014,gun_shot,0.813665807,0.72%
D:/urbansound8k-gunshot/135528-6-10-0.wav,0,2.119274376,gun_shot,0.764983833,0.00%
D:/urbansound8k-gunshot/135528-6-11-0.wav,0,1.84,gun_shot,0.683768928,0.00%
D:/urbansound8k-gunshot/135528-6-12-0.wav,0.015621424,2.34,gun_shot,0.648038447,0.67%
D:/urbansound8k-gunshot/135528-6-2-0.wav,0.015620947,4,gun_shot,0.98604095,0.39%
D:/urbansound8k-gunshot/135528-6-3-0.wav,0.016025066,2.84,gun_shot,0.900898337,0.56%
D:/urbansound8k-gunshot/135528-6-4-0.wav,0.015620708,4,gun_shot,0.973190308,0.39%
D:/urbansound8k-gunshot/135528-6-4-1.wav,0.015620708,4,gun_shot,0.982035697,0.39%
D:/urbansound8k-gunshot/135528-6-4-2.wav,0.015620947,4,gun_shot,0.901480734,0.39%
D:/urbansound8k-gunshot/135528-6-5-0.wav,0.015621662,2.23,gun_shot,0.672060132,0.70%
