file,检测时间,音频时长,prediction,confidence,
D:/urbansound8k-gunshot/102305-6-0-0.wav,1.581873178,2.61,gun_shot,0.513586342,60.61%
D:/urbansound8k-gunshot/122690-6-0-0.wav,0.046867132,3.145895692,gun_shot,0.467505962,1.49%
D:/urbansound8k-gunshot/131571-6-0-0.wav,0.015619278,1.9,gun_shot,0.689980567,0.82%
D:/urbansound8k-gunshot/133797-6-1-0.wav,0.015594006,1.949895833,gun_shot,0.212322935,0.80%
D:/urbansound8k-gunshot/133797-6-2-0.wav,0.015587568,1.769104167,gun_shot,0.598845065,0.88%
D:/urbansound8k-gunshot/135526-6-10-0.wav,0.015601397,2.61,gun_shot,0.930868328,0.60%
D:/urbansound8k-gunshot/135526-6-11-0.wav,0.01558733,2.39,gun_shot,0.858061969,0.65%
D:/urbansound8k-gunshot/135526-6-12-0.wav,0.015623569,2.68,gun_shot,0.966836572,0.58%
D:/urbansound8k-gunshot/135526-6-2-0.wav,0.015595436,2.587981859,gun_shot,0.972475827,0.60%
D:/urbansound8k-gunshot/135526-6-4-0.wav,0.015623093,1.789818594,gun_shot,0.831927478,0.87%
D:/urbansound8k-gunshot/135526-6-5-0.wav,0.015619993,2.297732426,gun_shot,0.804902792,0.68%
D:/urbansound8k-gunshot/135526-6-6-0.wav,0.015620708,2.2,gun_shot,0.73673141,0.71%
D:/urbansound8k-gunshot/135526-6-7-0.wav,0.01559329,2.055873016,gun_shot,0.84919709,0.76%
D:/urbansound8k-gunshot/135526-6-8-0.wav,0.015622139,1.86,gun_shot,0.854954123,0.84%
D:/urbansound8k-gunshot/135526-6-9-0.wav,0,1.98,gun_shot,0.824695826,0.00%
D:/urbansound8k-gunshot/135527-6-1-0.wav,0.015580416,3.23,gun_shot,0.866914332,0.48%
D:/urbansound8k-gunshot/135527-6-11-0.wav,0.015658855,1.889954649,gun_shot,0.511779964,0.83%
D:/urbansound8k-gunshot/135527-6-12-0.wav,0.015619993,1.95,gun_shot,0.591389894,0.80%
D:/urbansound8k-gunshot/135527-6-14-0.wav,0.015614033,4,gun_shot,0.972941518,0.39%
D:/urbansound8k-gunshot/135527-6-14-1.wav,0.015621662,4,gun_shot,0.811377704,0.39%
D:/urbansound8k-gunshot/135527-6-14-10.wav,0.015586138,4,gun_shot,0.959996283,0.39%
D:/urbansound8k-gunshot/135527-6-14-2.wav,0.015621424,4,gun_shot,0.972550929,0.39%
D:/urbansound8k-gunshot/135527-6-14-3.wav,0.015621185,4,gun_shot,0.502866983,0.39%
D:/urbansound8k-gunshot/135527-6-14-4.wav,0.003021717,4,gun_shot,0.9529351,0.08%
D:/urbansound8k-gunshot/135527-6-14-5.wav,0.015621185,4,gun_shot,0.931035876,0.39%
D:/urbansound8k-gunshot/135527-6-14-6.wav,0.015623093,4,gun_shot,0.874809325,0.39%
D:/urbansound8k-gunshot/135527-6-14-7.wav,0.01683116,4,gun_shot,0.339147359,0.42%
D:/urbansound8k-gunshot/135527-6-14-8.wav,0.031259298,4,gun_shot,0.524734855,0.78%
D:/urbansound8k-gunshot/135527-6-14-9.wav,0.015581608,4,gun_shot,0.724668682,0.39%
